"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","change"
-3.20112842443356,6.61984434504105,-8.86835110336398,5.55416950229891e-14,7.39185905162621e-12,21.4365218101336,"Anxa1","Higher in Adult_Reinfected"
-4.6964507764516,8.50826501656562,-8.8608368922327,5.75969529948864e-14,7.61462233534383e-12,21.401106636924,"Col1a1","Higher in Adult_Reinfected"
-3.47265935272234,7.76331916159281,-8.85816037124637,5.83472265779908e-14,7.66306371168704e-12,21.3884923510007,"Rpl4","Higher in Adult_Reinfected"
-3.50356449121684,8.02214066455389,-8.85239785080857,5.99958518203298e-14,7.82808620842643e-12,21.3613346625891,"Sparcl1","Higher in Adult_Reinfected"
-3.50243770654737,7.3196893899053,-8.84333043274194,6.26846869034789e-14,8.06306435013154e-12,21.3186036535728,"Cox4i1","Higher in Adult_Reinfected"
-3.69866724823727,7.2664641259738,-8.84479659715879,6.22418950473279e-14,8.06306435013154e-12,21.3255129115981,"Qk","Higher in Adult_Reinfected"
-3.1320639373446,6.73496416359272,-8.84226486787744,6.30084675960787e-14,8.06306435013154e-12,21.3135822513017,"Septin7","Higher in Adult_Reinfected"
-3.21053270503459,7.14075257864496,-8.82829996604867,6.7409448411895e-14,8.57130457736727e-12,21.2477768859252,"Ezr","Higher in Adult_Reinfected"
-3.17301332865603,6.53588105282734,-8.80125041463346,7.68260466355165e-14,9.70682512015707e-12,21.1203319745388,"S100a6","Higher in Adult_Reinfected"
-3.06637533295319,6.98311091366497,-8.79066045732592,8.08608158721562e-14,1.01523551399739e-11,21.0704436765751,"Actr2","Higher in Adult_Reinfected"
-4.28435391922221,9.15136730964627,-8.78366617112386,8.36409737332136e-14,1.04357797414759e-11,21.0374963639582,"Ager","Higher in Adult_Reinfected"
-3.02967854023385,6.84602379537956,-8.77695936889015,8.63964548480666e-14,1.06464964699503e-11,21.0059048797188,"Eif4b","Higher in Adult_Reinfected"
-3.05991232473892,7.02007972431524,-8.77721056689023,8.62916349346755e-14,1.06464964699503e-11,21.0070880853296,"Shisa5","Higher in Adult_Reinfected"
-3.60497772440193,9.62025521333289,-8.76906481326591,8.97562808233853e-14,1.09256380126661e-11,20.9687206853692,"Actg1","Higher in Adult_Reinfected"
-3.38158388246108,7.15457582609073,-8.76939482883644,8.96132520731702e-14,1.09256380126661e-11,20.9702750490997,"Myh14","Higher in Adult_Reinfected"
-3.02085270076601,7.71736879139044,-8.76582450399072,9.11727937962318e-14,1.09643523045432e-11,20.9534591311879,"Pkm","Higher in Adult_Reinfected"
-3.0878822036515,7.0362676229622,-8.76607740104966,9.10614403926703e-14,1.09643523045432e-11,20.9546502391026,"Tm9sf3","Higher in Adult_Reinfected"
-3.46206649983397,7.99406241059809,-8.75963222216899,9.39421523628666e-14,1.12297436384425e-11,20.9242951193485,"Gnb1","Higher in Adult_Reinfected"
-3.16993452289473,6.32674455388035,-8.75126916554465,9.78161176364266e-14,1.16232330736666e-11,20.8849095596363,"Atp5j2","Higher in Adult_Reinfected"
-3.48133681958128,7.1390030478747,-8.7446830174735,1.00978915141967e-13,1.19280596625982e-11,20.8538941220586,"Xbp1","Higher in Adult_Reinfected"
-3.39718512346292,6.98723330249144,-8.73615210998005,1.05227873289709e-13,1.23568472616615e-11,20.8137228637681,"Cyb5r3","Higher in Adult_Reinfected"
-3.2869158294098,7.13818674165815,-8.73113494538219,1.07809633955222e-13,1.25859866821526e-11,20.7900987911936,"Ppp1ca","Higher in Adult_Reinfected"
-3.35162656341889,7.36919120150438,-8.72791018241323,1.09502339501553e-13,1.2590860866032e-11,20.774915021656,"Cdc42","Higher in Adult_Reinfected"
-3.5585040537804,7.58757817967439,-8.72745477551498,1.09743515037298e-13,1.2590860866032e-11,20.7727707744583,"Ctnnb1","Higher in Adult_Reinfected"
-3.24598659290255,6.70193411383587,-8.72932640214153,1.08755710486303e-13,1.2590860866032e-11,20.7815832309968,"Serbp1","Higher in Adult_Reinfected"
-2.9544519154571,6.54265843932347,-8.7186730976602,1.14499246008535e-13,1.29872070912976e-11,20.7314245208199,"Dnajc3","Higher in Adult_Reinfected"
-3.74202401892474,8.10875276157129,-8.71877054997863,1.14445357772743e-13,1.29872070912976e-11,20.7318833332382,"Myl12a","Higher in Adult_Reinfected"
