"feature.feature","feature.group","feature.avgExpr","feature.logFC","feature.statistic","feature.auc","feature.pval","feature.padj","feature.pct_in","feature.pct_out"
"Wnt11","10",2.92569369505152,2.70295258820419,925629.5,0.99070706573393,6.90714776864834e-06,0.0011477377208904,100,10.6137992447919
"Adgra2","11",1.79031928034321,1.61251495797706,880451,0.942352233515143,6.20346652869947e-06,0.000515404677426115,100,8.34025464726986
"Adgrg6","11",2.09606282493261,1.91678110419485,894969,0.957890940071411,3.2634840646355e-06,0.00032536936124416,100,8.43701033487743
"Bcl2","11",1.79031928034321,1.64114487864772,887612.5,0.950017231931089,2.90462921011008e-07,5.7918306449595e-05,100,6.58045706359332
"Clec4d","11",1.79031928034321,1.51273820731855,848566.5,0.908226052967317,0.000631326494431729,0.016139295255088,100,13.0388992113983
"Cxcl10","11",1.79031928034321,1.54870507633002,860314,0.920799475978046,0.000175058190746076,0.00601837986806339,100,11.2850953428833
"Cxcl12","11",2.52800747361368,2.29649657517181,892932,0.955710726181404,1.49399197053296e-05,0.00106393571044383,100,9.78966341008143
"Efnb2","11",2.58234860881899,2.38538447288908,911423.5,0.975502294736662,2.27649928616303e-06,0.000283069448067858,100,8.85507196739419
"Flt1","11",1.79031928034321,1.60844863674764,878170.5,0.939911400046237,7.0252960641604e-06,0.000538786167382148,100,8.34624836243139
"Frmd8","11",1.79031928034321,1.61616091899676,881750.5,0.943743096524502,4.72052274734925e-06,0.000427851016282473,100,8.16879158139893
"H2-Eb1","11",2.09606282493261,1.72596946290646,840273,0.899349467843718,0.00154603313671996,0.0302234321041138,100,14.8153935730249
"Ifnar2","11",1.79031928034321,1.62397002518708,883775,0.945909931586023,2.5280788647796e-06,0.000283069448067858,100,7.77085170692445
"Itgae","11",1.4203874083784,1.34786571539403,690618.5,0.739173316836346,0.000159252964409662,0.00567054305415831,50,3.31794946441874
"Jag1","11",2.09606282493261,1.81162251979587,871146.5,0.932393568743632,0.000332903674928976,0.0107066117388448,100,13.3090445161787
"Lifr","11",1.79031928034321,1.58423373189975,870875.5,0.932103515742065,3.4454161015381e-05,0.00190837769624083,100,9.59872076993553
"Met","11",1.4203874083784,1.36132348194528,692781.5,0.741488389317487,3.77264608035271e-05,0.00197964639058508,50,2.82603669866169
"Notch3","11",2.09606282493261,1.97008478405095,905841.5,0.96952784508815,1.39558458569052e-08,5.44599086412403e-06,100,5.80876623654625
"Pdgfrb","11",2.41197929419075,2.02492823330144,866492.3984375,0.927412254618907,0.00147571773277586,0.0300263383587252,100,17.2668230740909
"Pgf","11",1.35030761130735,1.29243105824391,691947,0.740595218727791,2.14442830215791e-05,0.00133624688578215,50,2.63316750721386
"Pnoc","11",1.79031928034321,1.70975685194628,909407,0.973344022125371,6.14551048932792e-13,6.12707395785994e-10,100,3.58702446292031
"Ptger4","11",1.79031928034321,1.66702264002378,896963.5,0.960025665944567,1.63871339943552e-08,5.44599086412403e-06,100,5.61975014770227
"Ace","2",1.33269346479691,0.981548872861782,21496825096.0195,0.688508486697201,0,0,50.248097506651,16.2102069922323
"Acvrl1","2",1.17893632347896,0.828415877050847,20739841673.0508,0.664263533841368,0,0,46.1263379323145,16.5671437039108
"Adgrf5","2",1.24707577637944,0.753279779782699,20264541589.2734,0.649040442061681,0,0,48.1964981748438,22.3881369663744
"Bmpr2","2",1.08782663757236,0.752434711634724,20250994866.7734,0.648606562483347,0,0,42.8026975190249,15.4921921712054
"Cd36","2",1.06951548271531,0.717301194315402,19990018074.3477,0.64024789855909,0,0,41.7397760316773,16.0528338807743
"Cd93","2",1.34821775231553,0.873100954723795,20791246245.1836,0.665909939020291,0,0,49.8917280207882,21.357705458621
"Cdh5","2",2.21887372852549,1.65121962116563,24867448075.0078,0.796464080889562,0,0,73.621233681866,24.2729905809087
"Clec14a","2",0.99155871014716,0.628446328742201,19515589931.0195,0.625052733619598,0,0,39.5582503248159,16.9214920420455
"Clec2d","2",1.29716722806607,0.730684087103829,20110645931.9062,0.644111413440484,0,0,49.5378333230217,25.4406058864791
"Col4a1","2",1.7070363331159,0.883662423319788,20623718014.2812,0.660544281151167,0,0,59.1301119841614,32.0344874890965
"Eng","2",1.62575231425629,1.21514738151827,22676933659.4023,0.726305452411155,0,0,58.7452824351915,18.039669412931
"Esam","2",1.28566489720439,0.841289976515116,20767439943.4062,0.665147461736442,0,0,49.3262389407907,20.3839593314749
"Icam2","2",0.911236309384947,0.73725075016743,20190101405,0.646656243539591,0,0,36.4449668997092,8.19427296469717
"Itm2b","2",2.33691661999571,0.752117636688211,20576091714.9375,0.659018887929532,0,0,77.2443234548042,58.7307133816324
"Kdr","2",0.939915463400291,0.639456530515394,19348062720.3633,0.619687108427305,0,0,35.8250324815938,14.0173369259958
"Klf2","2",1.07528487177562,0.722825900242232,19963715643.6016,0.639405474307668,0,0,41.5145703149168,15.6635424997994
"Pecam1","2",1.29275288160641,0.751062094373278,20299137207.7383,0.650148483682208,0,0,50.1218833137413,24.2854147739185
"Ramp2","2",1.67073895615924,1.35388049649487,23382151336.4766,0.748892432277516,0,0,59.9566912083153,13.9844645819906
"Tek","2",0.847928602053335,0.665703400247299,19727888465.5,0.631852311792202,0,0,33.8748994617336,8.5033247658169
"Tie1","2",1.15384135964677,0.909794610529744,21155267450.8633,0.677568948586993,0,0,44.8357359401101,11.2653781743166
"Acta2","3",0.798484367771229,0.618955426913733,13757513780,0.590419234977395,0,0,24.8432546671363,7.65854894755567
"Bgn","3",1.97946504654135,1.29954133270056,17445219584.293,0.748681292687095,0,0,70.6481155336386,28.7084102948989
"Cd81","3",1.29784440818098,0.798847706966603,15432677623.3047,0.662310782435888,0,0,52.0482564283198,21.6858603531378
"Col1a1","3",1.51625091140061,1.12768286516602,16310315387.1484,0.699975597852551,0,0,53.6157097569567,17.3547314914542
"Col1a2","3",1.93261309495847,1.35545719678721,17279563130.6016,0.741571958964331,0,0,66.0179640718563,24.6964993250125
"Col3a1","3",0.927243197655209,0.769281135790699,15168577543,0.650976629342206,0,0,36.7347657625925,7.33665060017837
"Col4a1","3",1.59385238649704,0.703064017754515,14639179693.5586,0.628256922986522,0,0,57.1363156040859,33.8972849421753
"Col6a2","3",0.911099257650578,0.700077406223101,15082596970.5,0.647286676008329,0,0,38.4677703416696,9.85481677867722
"Fn1","3",1.01355044783062,0.773952821932116,15198138342,0.652245264403017,0,0,40.0281789362452,10.9771966333478
"Gpx3","3",0.983607900516385,0.637436364726506,14712571732.6133,0.631406625196168,0,0,40.6639661852765,15.4481965407502
"Gsn","3",2.65835316695017,1.6501647457012,17968195310.0312,0.771125386354006,0,0,77.1222261359634,37.4091691075058
"Igfbp7","3",2.1647023868708,0.522936881838427,13950859093.4648,0.598716867375796,0,0,73.7407537865446,58.3230582536101
"Itga8","3",1.49962626390542,1.15601442313754,16485343215.6289,0.707487114703904,0,0,53.1243395561818,14.527825565698
"Mgp","3",1.59206136826213,1.02729091784083,16054763903.1016,0.68900831741794,0,0,56.9742867206763,23.9491395737588
"Mmp2","3",0.710571265258728,0.521131709741129,14252977599,0.611682624107939,0,0,30.7079957731596,8.79993566906608
"Mxra8","3",0.741261428444295,0.589021995927381,14696909085,0.630734444991995,0,0,33.0028178936245,7.14024630950002
"Rarres2","3",0.87571583666751,0.715218786353512,15107998250,0.64837680059404,0,0,36.5692145121522,7.29400698867873
"Serpinh1","3",1.0214208063883,0.530565259789016,14266606575.0391,0.612267527000655,0,0,43.1454737583656,21.907119777376
"Sparcl1","3",0.648588321778189,0.500148456834967,14209760346.5,0.609827906928155,0,0,28.6843959140542,6.99745113042122
"Tagln","3",0.673340205024212,0.554427783630903,14163039595.5,0.607822833155081,0,0,26.6431842197957,5.47397764987402
"Alcam","4",1.05891605036887,0.759121509733209,9063630033.94922,0.667244398748451,0,0,46.605681271064,13.4159627342014
"App","4",1.44101185852085,0.766257504723306,8977349038.64844,0.660892582686096,0,0,60.1444390948483,28.6009499934633
"Cd36","4",1.10594929134958,0.674639028835501,8794461085.41406,0.647428776028375,0,0,48.3196918632643,18.5083588874388
"Cd74","4",2.80670057368503,1.89134252579448,10998925244.3555,0.809716552204788,0,0,88.8172043010753,30.7706598349094
"Chil1","4",2.24110444500596,1.86269386104287,11343355682.3672,0.83507275933824,0,0,77.7210720590595,16.1423201216505
"Ctnnb1","4",1.50224471175979,0.910738714289514,9371210229.15625,0.689887772501476,0,0,61.7332691381801,25.3555594800953
"Etv5","4",1.69817444026633,1.45704063928026,10752799964.4453,0.791597353407473,0,0,66.756539881239,11.2728582142783
"Fabp5","4",0.814340671466646,0.539622137628681,8453747925.5,0.622346226687657,0,0,36.9924570694913,12.8460125274367
"Fasn","4",0.92353907587585,0.813547803388024,9293794056,0.684188565040716,0,0,41.8135130797625,5.27175271729782
"Fgfr2","4",1.29463488854306,1.11326669088187,9953875547,0.732782304628227,0,0,53.9046701974001,8.3985660649124
"Gas6","4",1.09472948942324,0.772520455791658,9087576243.14453,0.669007265712017,0,0,47.7226769378912,14.8638885512256
"H2-Ab1","4",0.989919356854088,0.575045971964187,8496751265.81641,0.625512037499232,0,0,42.8310062590274,16.5393357385156
"Lamp3","4",2.10643627125717,1.91105040862816,11676466533,0.859595643482291,0,0,77.9361258225004,8.59810597633503
"Lcn2","4",1.03343332392058,0.729873499710129,8818761289.83203,0.649217703337367,0,0,42.2564596372974,12.575372187806
"Ppia","4",2.0819823239108,0.725223747295123,8617066176.39062,0.634369355137515,0,0,76.6265446958755,50.1209854060637
"Rgcc","4",0.925276037065098,0.616405888060829,8613594977.64062,0.634113813162147,0,0,40.2471513400738,13.465503677727
"Sdc1","4",0.675150470697835,0.530793297355433,8491145767.5,0.62509937310982,0,0,31.8119082009308,6.82380625821382
"Sod1","4",1.56232003747514,0.545754588805184,8304403413.64453,0.611351814002438,0,0,64.0507141710801,41.1176069889427
"Tpm1","4",1.52332341137708,0.975598093659856,9527014413.42969,0.701357731984445,0,0,62.0702936928262,23.086309039158
"Tpt1","4",1.73518626635442,0.727340169597576,8720186104.92969,0.641960816225325,0,0,67.9024233670358,39.2625738813724
"Alcam","5",1.15209498076567,0.853358986780681,8529024593.90625,0.686870809783344,0,0,50.3711034141514,13.3895694338109
"Anxa1","5",1.15926874975007,0.789277216613824,8345794759.14453,0.672114699797547,0,0,50.4099809146816,16.966076050895
"App","5",1.42183888105455,0.740853114004959,8149788409.58203,0.656329654442787,0,0,59.8218703612073,28.8273816034124
"Col4a1","5",1.8159635255036,0.893860059048103,8306114840.40234,0.668919143539208,0,0,68.2229447939493,34.6909293083962
"Col4a2","5",1.24855083273715,0.732431467828514,8128879552.84375,0.654645794441993,0,0,52.8027143564006,21.5271701483831
"Cryab","5",1.38410699870388,1.08592256443495,9050516865.14844,0.728868322476624,0,0,58.0723828373507,13.1300357286084
"Cystm1","5",1.0318448891099,0.818973952899102,8463226910.5,0.681571902788116,0,0,45.7588181239839,9.59522767873419
"Icam1","5",2.23521035047842,1.73132630458547,10240418336.1875,0.824695058344983,0,0,79.0450272142504,21.8564293266251
"Ier3","5",1.12740487208279,0.883649238384798,8532149379.5,0.687122459193842,0,0,47.7698451968615,10.667085930949
"Igfbp7","5",2.89003183937015,1.26108600401441,9334277113.74609,0.751720482133644,0,0,89.8706439527815,58.2838874913413
