"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Spry4","Spry4","neonate",0.296620701346726,0.0924944437518139,32734,0.51345034743463,0.222432895614777,0.462011660266527,7.80669144981413,5.06329113924051
"Sell","Sell","neonate",0.579882552346174,0.0921441691378741,32541,0.510423038915816,0.486486583618313,0.720021487688592,13.7546468401487,11.8143459915612
"Adgrf3","Adgrf3","neonate",0.158734797194116,0.0920709468030192,32527.5,0.510211284174862,0.163020361320254,0.39153852795296,3.71747211895911,1.68776371308017
"Actg2","Actg2","neonate",0.459719081929268,0.0916159319447081,32603.5,0.511403384938748,0.404905175777758,0.666155875000701,11.5241635687732,9.28270042194093
"Rora","Rora","neonate",0.348667394837542,0.0912611253171128,32492,0.509654447633837,0.417768953280092,0.67947087507382,8.55018587360595,6.75105485232067
"Cd209e","Cd209e","neonate",0.108174754307723,0.0905546533137353,32572,0.51090929054319,0.0500082695101826,0.217721592583634,2.60223048327138,0.421940928270042
"Cyp2u1","Cyp2u1","neonate",0.213780505357199,0.0905078970314602,32589,0.511175944661428,0.209319879486418,0.450533976507659,5.20446096654275,2.9535864978903
"H2-Ob","H2-Ob","neonate",0.895697638305598,0.0894015270151752,32582.5,0.511073988675043,0.548537467550998,0.76168782054087,22.3048327137546,20.253164556962
"Lyz3","Lyz3","neonate",0.294062648578859,0.0892597420972617,32528,0.510219126943046,0.33992632923434,0.600331186115704,7.0631970260223,5.06329113924051
"Itga2","Itga2","neonate",0.248462430329848,0.0886734966384201,32556.5,0.510666164729503,0.270235240163417,0.525194024255219,5.94795539033457,3.79746835443038
"Gas6","Gas6","neonate",0.598720580241334,0.0886150799570048,32511,0.509952472824808,0.511937143131497,0.740575523041561,14.1263940520446,12.2362869198312
"Tubb4b","Tubb4b","neonate",0.856624072440497,0.0883645400271839,32571,0.510893605006823,0.546209010382139,0.760814264823686,21.1895910780669,18.9873417721519
"Sdc1","Sdc1","neonate",0.316638058540585,0.0878983098050248,32595,0.511270057879629,0.313422077899844,0.578670021603971,7.80669144981413,5.48523206751055
"Csf3r","Csf3r","neonate",0.198376653550997,0.0878112930672743,32603,0.511395542170564,0.17923294334928,0.412691095887372,4.83271375464684,2.53164556962025
"Cd300a","Cd300a","neonate",0.36437953941322,0.0875526907582194,32655.5,0.512219032829828,0.316141020487939,0.581631908754421,9.29368029739777,6.75105485232067
"Tlr5","Tlr5","neonate",0.234246442206056,0.0870583133992352,32462,0.509183881542829,0.333148747177229,0.596154938186768,5.57620817843866,3.79746835443038
"Adgrv1","Adgrv1","neonate",0.163221613458231,0.0868140772317779,32406,0.508305491506282,0.272616227548818,0.526741044314285,3.71747211895911,2.10970464135021
"Fabp4","Fabp4","neonate",0.308157718819442,0.0861152224532771,32515,0.510015214970276,0.3637192358341,0.616714418582649,7.43494423791822,5.48523206751055
"Trmt5","Trmt5","neonate",0.133862189919263,0.0859787136878365,32545,0.510485781061283,0.122537491674117,0.333824431720313,3.3457249070632,1.26582278481013
"Itgb8","Itgb8","neonate",0.170350547880086,0.0853993367665849,32513,0.509983843897542,0.201125786529003,0.445605353709814,4.08921933085502,2.10970464135021
"Mx1","Mx1","neonate",0.348761410704458,0.085244837349402,32559.5,0.510713221338604,0.374098765925922,0.630027820317812,8.92193308550186,6.75105485232067
"Pgr","Pgr","neonate",0.180494082568025,0.0851403835404184,32501.5,0.509803460229323,0.235695206866533,0.479266041447576,4.46096654275093,2.53164556962025
"Lgals3bp","Lgals3bp","neonate",0.606916205936359,0.0849803906561909,32587,0.511144573588694,0.471057457913064,0.712662041789568,14.8698884758364,12.6582278481013
"Cd86","Cd86","neonate",0.486329984731817,0.0848675719523116,32495.5,0.509709347011121,0.488972794092191,0.721562331522127,11.8959107806691,10.126582278481
"Cd22","Cd22","neonate",0.229893860674504,0.0848177902845797,32471,0.509325051370132,0.325764981878519,0.593761767701797,5.57620817843866,3.79746835443038
"Bmp7","Bmp7","neonate",0.172338747672153,0.0847564413047816,32621,0.511677881825169,0.146437868239588,0.364093985691039,4.46096654275093,2.10970464135021
"Rarres1","Rarres1","neonate",0.4754036602531,0.0843312251992013,32502.5,0.509819145765689,0.476986283023387,0.716197777370958,11.5241635687732,9.70464135021097
"Bmp1","Bmp1","neonate",0.236522462220786,0.0839217340179349,32565,0.510799491788622,0.264288411814333,0.516657934468413,5.94795539033457,3.79746835443038
"Gpr183","Gpr183","neonate",0.484223850462747,0.0837513379307788,32315.5,0.506885950465076,0.623731015739959,0.796235368364583,11.5241635687732,10.5485232067511
"Cd70","Cd70","neonate",0.273155123347769,0.0837142110067423,32536.5,0.510352454002165,0.333658341918576,0.596154938186768,7.0631970260223,5.06329113924051
"Mthfd1l","Mthfd1l","neonate",0.204175411928896,0.0832911223014099,32479.5,0.50945837842925,0.276812907783031,0.531468739195269,4.83271375464684,2.9535864978903
"Pdgfa","Pdgfa","neonate",0.2893199575334,0.0831494360226885,32526,0.510187755870312,0.341412018583354,0.600331186115704,7.0631970260223,5.06329113924051
"Fgf18","Fgf18","neonate",0.577037788897489,0.0830056056576805,32502,0.509811302997506,0.523218326620311,0.747392517913689,14.4981412639405,12.6582278481013
"Fgf1","Fgf1","neonate",0.169956806692812,0.082628589873622,32511,0.509952472824808,0.202546218274753,0.446564336996146,4.08921933085502,2.10970464135021
"Pgk1","Pgk1","neonate",0.614426271011656,0.0825441493608549,32503,0.509826988533873,0.532479554588099,0.751957671280928,15.2416356877323,13.5021097046413
"Aicda","Aicda","neonate",0.2767313808086,0.08142352236151,32516,0.510030900506643,0.348902750613533,0.608139934198762,7.0631970260223,5.06329113924051
"Tnfsf15","Tnfsf15","neonate",0.1613484843778,0.0814043929989861,32510.5,0.509944630056625,0.202902351714397,0.446564336996146,4.08921933085502,2.10970464135021
"Cmklr1","Cmklr1","neonate",0.568542494654514,0.0811528422460295,32437.5,0.50879958590184,0.559510768408785,0.771552193780856,13.7546468401487,12.2362869198312
"Epha3","Epha3","neonate",0.282784248500727,0.0811115991987864,32418,0.508493717942685,0.434591949948535,0.68929863885244,7.0631970260223,5.48523206751055
"Hgf","Hgf","neonate",0.523411687936194,0.0805663209480606,32528.5,0.510226969711229,0.482714129422658,0.718167110752244,13.0111524163569,10.9704641350211
"Spn","Spn","neonate",0.903410751111535,0.0804294955759592,32502,0.509811302997506,0.589653365682258,0.78170996129126,21.5613382899628,19.4092827004219
"Pparg","Pparg","neonate",0.289765257271915,0.0802411115523529,32413,0.50841529026085,0.438850072860626,0.690115966312372,7.0631970260223,5.48523206751055
"Tnfsf14","Tnfsf14","neonate",0.15940993364566,0.080019437588982,32511,0.509952472824808,0.202546218274753,0.446564336996146,4.08921933085502,2.10970464135021
"Nppc","Nppc","neonate",0.285065667380999,0.0798065004564897,32424.5,0.50859567392907,0.429092238146467,0.68621576120119,7.0631970260223,5.48523206751055
"Wnt3","Wnt3","neonate",0.171466119947653,0.0791892650331326,32390.5,0.508062365692595,0.316193073766195,0.581631908754421,4.08921933085502,2.53164556962025
"Kit","Kit","neonate",0.226721561267418,0.0789779460059773,32453.5,0.509050554483711,0.340220784193501,0.600331186115704,5.57620817843866,3.79746835443038
"Cd84","Cd84","neonate",0.511384736030304,0.0785186150909034,32460,0.509152510470096,0.526927859114358,0.75012986389251,12.639405204461,10.9704641350211
"Adgrg6","Adgrg6","neonate",0.279428955216843,0.0783682125402273,32316,0.50689379323326,0.519875791986953,0.745778654116536,6.69144981412639,5.48523206751055
"Vegfa","Vegfa","neonate",0.839004430181438,0.0780943101428631,32478.5,0.509442692892883,0.593676039685638,0.782099176103967,20.0743494423792,18.1434599156118
"Efnb2","Efnb2","neonate",0.26601125910836,0.0780717713923167,32418.5,0.508501560710868,0.420184263869493,0.682286174393948,6.69144981412639,5.06329113924051
"Cd69","Cd69","neonate",0.700908050781935,0.0773610948359534,32473.5,0.509364265211049,0.571062979933675,0.776739141874316,17.1003717472119,15.1898734177215
"Cd5l","Cd5l","neonate",0.13625565325674,0.076749820291216,32418,0.508493717942685,0.229069440062415,0.472841059507719,3.3457249070632,1.68776371308017
"Brca1","Brca1","neonate",0.32308711117118,0.0759554812983698,32478,0.5094348501247,0.41717808931905,0.67947087507382,8.17843866171004,6.32911392405063
